z(m),U(m/s),u_rms(m/s),v_rms(m/s),w_rms(m/s),k(m2/s2)
0.005,2.745,0.663,0.518,0.19,0.372
0.01,2.935,0.669,0.545,0.234,0.4
0.02,3.175,0.687,0.555,0.306,0.437
0.04,3.435,0.717,0.572,0.378,0.492
0.06,3.627,0.749,0.573,0.432,0.538
0.08,3.824,0.777,0.576,0.46,0.574
0.1,4.021,0.766,0.591,0.484,0.585
0.12,4.21,0.799,0.599,0.506,0.627
0.14,4.362,0.793,0.609,0.519,0.635
0.16,4.491,0.807,0.614,0.526,0.652
0.165,4.502,0.798,0.615,0.52,0.643
0.17,4.586,0.813,0.608,0.533,0.657
0.18,4.606,0.799,0.617,0.53,0.65
0.19,4.712,0.808,0.617,0.533,0.659
0.21,4.854,0.806,0.615,0.542,0.661
0.23,4.993,0.795,0.62,0.535,0.651
0.25,5.132,0.784,0.597,0.53,0.626
0.3,5.449,0.767,0.582,0.509,0.593
0.35,5.782,0.725,0.53,0.486,0.521
0.4,6.077,0.663,0.479,0.447,0.434
0.45,6.338,0.594,0.431,0.407,0.352
0.5,6.588,0.496,0.366,0.359,0.254
0.55,6.693,0.402,0.304,0.311,0.175
0.6,6.751,0.307,0.236,0.249,0.106
